"nGene"	"nUMI"	"orig.ident"	"Patient"	"majorCluster"	"sampleType"	"percent.mito"	"res.1"
"TTR49-0322"	1775	871842	"TTR49-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR50-0322"	2354	821786	"TTR50-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR5-0322"	3443	776461	"TTR5-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR51-0322"	2867	1027923	"TTR51-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR52-0322"	3009	985304	"TTR52-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR54-0322"	2841	660677	"TTR54-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR56-0322"	3495	1041380	"TTR56-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR58-0322"	2565	502094	"TTR58-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR59-0322"	3535	719425	"TTR59-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR60-0322"	3552	593540	"TTR60-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR61-0322"	3241	766249	"TTR61-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR62-0322"	3037	658136	"TTR62-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR64-0322"	3533	879410	"TTR64-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR65-0322"	3357	1048840	"TTR65-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR66-0322"	2701	533394	"TTR66-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR68-0322"	3412	717886	"TTR68-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR69-0322"	3698	554874	"TTR69-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR70-0322"	3620	807375	"TTR70-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR7-0322"	3280	642548	"TTR7-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR71-0322"	3261	892600	"TTR71-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR72-0322"	2795	711791	"TTR72-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR74-0322"	3402	858578	"TTR74-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR75-0322"	3699	1240068	"TTR75-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR76-0322"	3024	671008	"TTR76-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR78-0322"	3493	866841	"TTR78-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR80-0322"	3802	553193	"TTR80-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR81-0322"	3230	922948	"TTR81-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR82-0322"	3507	699055	"TTR82-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR83-0322"	2858	741281	"TTR83-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR86-0322"	3175	650900	"TTR86-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR87-0322"	3816	675112	"TTR87-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR89-0322"	3212	771711	"TTR89-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR90-0322"	2817	746480	"TTR90-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR9-0322"	3917	853524	"TTR9-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR91-0322"	2530	718382	"TTR91-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR92-0322"	3227	782022	"TTR92-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR95-0322"	3477	802925	"TTR95-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR96-0322"	3190	836174	"TTR96-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR97-0322"	3009	759682	"TTR97-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR98-0322"	3451	691121	"TTR98-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR99-0322"	3956	677407	"TTR99-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR113-0322"	3710	659539	"TTR113-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR114-0322"	3135	534636	"TTR114-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR115-0322"	3247	772641	"TTR115-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR117-0322"	2934	536752	"TTR117-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR118-0322"	3455	731271	"TTR118-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR119-0322"	2820	673075	"TTR119-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR120-0322"	2465	642740	"TTR120-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR121-0322"	3359	817085	"TTR121-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR122-0322"	3717	440984	"TTR122-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR123-0322"	3370	811646	"TTR123-0322"	"P0322"	"unknown"	"TTR"	0	"1"
