"nGene"	"nUMI"	"orig.ident"	"Patient"	"majorCluster"	"sampleType"	"percent.mito"	"res.1"
"PTR15-0322"	3538	649322	"PTR15-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR18-0322"	3889	679744	"PTR18-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR2-0322"	5266	598922	"PTR2-0322"	"P0322"	"unknown"	"PTR"	0	"8"
"PTR3-0322"	3142	487907	"PTR3-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR40-0322"	3633	536370	"PTR40-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR42-0322"	3278	547029	"PTR42-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR61-0322"	3335	521333	"PTR61-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR63-0322"	3753	669754	"PTR63-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR76-0322"	4864	758226	"PTR76-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR77-0322"	3900	752954	"PTR77-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR79-0322"	2907	666071	"PTR79-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR82-0322"	3526	731176	"PTR82-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR83-0322"	3964	696436	"PTR83-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR86-0322"	2954	561678	"PTR86-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR9-0322"	3520	604565	"PTR9-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR91-0322"	3129	554452	"PTR91-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR95-0322"	3931	598620	"PTR95-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"TTH59-0322"	3057	721518	"TTH59-0322"	"P0322"	"C07_CD4-FOXP3"	"TTH"	0	"8"
"PTH142-0322"	2623	640537	"PTH142-0322"	"P0322"	"C06_CD4-CCR7"	"PTH"	0	"8"
"PTH143-0322"	2526	700419	"PTH143-0322"	"P0322"	"unknown"	"PTH"	0	"8"
"TTH108-0322"	3115	595555	"TTH108-0322"	"P0322"	"C07_CD4-FOXP3"	"TTH"	0	"8"
"TTR116-0322"	2711	556659	"TTR116-0322"	"P0322"	"unknown"	"TTR"	0	"8"
"PTR101-0322"	2537	508306	"PTR101-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR102-0322"	3467	788630	"PTR102-0322"	"P0322"	"unknown"	"PTR"	0	"8"
"PTR105-0322"	2525	615402	"PTR105-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR106-0322"	2627	619841	"PTR106-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR108-0322"	3050	656853	"PTR108-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR110-0322"	2521	652709	"PTR110-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR111-0322"	4430	615322	"PTR111-0322"	"P0322"	"C06_CD4-CCR7"	"PTR"	0	"8"
"PTR97-0322"	2276	762652	"PTR97-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR98-0322"	3221	573006	"PTR98-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR99-0322"	2466	525096	"PTR99-0322"	"P0322"	"unknown"	"PTR"	0	"8"
"PTC27-0407"	3664	739338	"PTC27-0407"	"P0407"	"C01_CD8-LEF1"	"PTC"	0	"8"
"PTC64-0407"	3820	962951	"PTC64-0407"	"P0407"	"C01_CD8-LEF1"	"PTC"	0	"8"
"PTC72-0407"	3385	499383	"PTC72-0407"	"P0407"	"C05_CD8-GZMK"	"PTC"	0	"8"
"PTC83-0407"	4407	1229585	"PTC83-0407"	"P0407"	"C01_CD8-LEF1"	"PTC"	0	"8"
"PTC9-0407"	4622	602008	"PTC9-0407"	"P0407"	"C01_CD8-LEF1"	"PTC"	0	"8"
"PTR13-0407"	2913	1211986	"PTR13-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR14-0407"	4086	940203	"PTR14-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR18-0407"	3863	1452233	"PTR18-0407"	"P0407"	"unknown"	"PTR"	0	"8"
"PTR20-0407"	4090	1135436	"PTR20-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR2-0407"	4204	949592	"PTR2-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR41-0407"	3581	1276354	"PTR41-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR60-0407"	3346	901349	"PTR60-0407"	"P0407"	"unknown"	"PTR"	0	"8"
"PTR61-0407"	3949	1424828	"PTR61-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR64-0407"	3809	1075780	"PTR64-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR75-0407"	4595	1403886	"PTR75-0407"	"P0407"	"unknown"	"PTR"	0	"8"
"PTR76-0407"	3327	1265866	"PTR76-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"NTR10-0407"	3686	971342	"NTR10-0407"	"P0407"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR13-0407"	3656	1073328	"NTR13-0407"	"P0407"	"unknown"	"NTR"	0	"8"
"NTR20-0407"	3431	1047746	"NTR20-0407"	"P0407"	"unknown"	"NTR"	0	"8"
"NTR2-0407"	3197	978017	"NTR2-0407"	"P0407"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR25-0407"	3737	1022434	"NTR25-0407"	"P0407"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR3-0407"	3711	1181197	"NTR3-0407"	"P0407"	"unknown"	"NTR"	0	"8"
"NTR36-0407"	3782	1333172	"NTR36-0407"	"P0407"	"unknown"	"NTR"	0	"8"
"NTR38-0407"	3605	976364	"NTR38-0407"	"P0407"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR41-0407"	3994	1122171	"NTR41-0407"	"P0407"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR70-0407"	4464	1136635	"NTR70-0407"	"P0407"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR75-0407"	3320	926455	"NTR75-0407"	"P0407"	"unknown"	"NTR"	0	"8"
"NTR85-0407"	3478	1073945	"NTR85-0407"	"P0407"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR87-0407"	4543	1229567	"NTR87-0407"	"P0407"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"PTC103-0407"	4824	1338254	"PTC103-0407"	"P0407"	"C05_CD8-GZMK"	"PTC"	0	"8"
"PTH107-0407"	3756	1116272	"PTH107-0407"	"P0407"	"C06_CD4-CCR7"	"PTH"	0	"8"
"PTH50-0407"	3507	1155192	"PTH50-0407"	"P0407"	"C06_CD4-CCR7"	"PTH"	0	"8"
"PTH6-0407"	3531	1051006	"PTH6-0407"	"P0407"	"C07_CD4-FOXP3"	"PTH"	0	"8"
"PTR1-0407"	4494	742436	"PTR1-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR105-0407"	5252	1304829	"PTR105-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR106-0407"	4302	1140225	"PTR106-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR107-0407"	4117	1309075	"PTR107-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR111-0407"	4236	1160262	"PTR111-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR12-0407"	4636	1078033	"PTR12-0407"	"P0407"	"C06_CD4-CCR7"	"PTR"	0	"8"
"PTR21-0407"	3513	1059942	"PTR21-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR22-0407"	3630	1248329	"PTR22-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR25-0407"	4109	1284536	"PTR25-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR32-0407"	4739	1031892	"PTR32-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR36-0407"	4727	3524176	"PTR36-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR48-0407"	4484	273471	"PTR48-0407"	"P0407"	"unknown"	"PTR"	0	"8"
"PTR52-0407"	4379	1018691	"PTR52-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR82-0407"	3642	1019029	"PTR82-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR88-0407"	4248	1443893	"PTR88-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR94-0407"	3537	1202138	"PTR94-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR97-0407"	3709	1205328	"PTR97-0407"	"P0407"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"TTH152-0407"	3573	1120873	"TTH152-0407"	"P0407"	"unknown"	"TTH"	0	"8"
"TTR236-0407"	5350	1130911	"TTR236-0407"	"P0407"	"C07_CD4-FOXP3"	"TTR"	0	"8"
"PTS2-5-0508"	2161	462259	"PTS2-5-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS2-6-0508"	2898	629585	"PTS2-6-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS2-7-0508"	2621	643111	"PTS2-7-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS1-2-0508"	2868	751669	"PTS1-2-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"PTS1-7-0508"	2745	785237	"PTS1-7-0508"	"P0508"	"C06_CD4-CCR7"	"PTR"	0	"8"
"PTS1-8-0508"	3178	708946	"PTS1-8-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-12-0508"	2462	656751	"PTS3-12-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-17-0508"	2214	738020	"PTS3-17-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-18-0508"	2401	710311	"PTS3-18-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"PTS3-19-0508"	2326	685049	"PTS3-19-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"PTS3-2-0508"	1999	791130	"PTS3-2-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-21-0508"	1822	473722	"PTS3-21-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-25-0508"	2199	665105	"PTS3-25-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"PTS3-29-0508"	2469	773151	"PTS3-29-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-32-0508"	3505	773087	"PTS3-32-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-34-0508"	2422	754411	"PTS3-34-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-36-0508"	2441	817173	"PTS3-36-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"PTS3-38-0508"	2732	494774	"PTS3-38-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-39-0508"	2209	568600	"PTS3-39-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-42-0508"	3075	824132	"PTS3-42-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-43-0508"	2777	847134	"PTS3-43-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-48-0508"	1968	528780	"PTS3-48-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-50-0508"	2237	786961	"PTS3-50-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"PTS3-52-0508"	2627	864484	"PTS3-52-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"PTS3-58-0508"	2574	517538	"PTS3-58-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-60-0508"	3539	905614	"PTS3-60-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-61-0508"	2346	735737	"PTS3-61-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"PTS3-64-0508"	3002	563553	"PTS3-64-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-65-0508"	2687	643725	"PTS3-65-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-70-0508"	3198	681086	"PTS3-70-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-7-0508"	1987	767161	"PTS3-7-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-72-0508"	3130	649764	"PTS3-72-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-73-0508"	2984	635340	"PTS3-73-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-81-0508"	2167	575246	"PTS3-81-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"PTS3-87-0508"	3487	697804	"PTS3-87-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS3-92-0508"	3271	593967	"PTS3-92-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"TTS1-29-0508"	2761	823577	"TTS1-29-0508"	"P0508"	"unknown"	"TTR"	0	"8"
"TTS1-36-0508"	4757	767212	"TTS1-36-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"8"
"TTS1-64-0508"	2440	765226	"TTS1-64-0508"	"P0508"	"C07_CD4-FOXP3"	"TTR"	0	"8"
"TTS1-68-0508"	3237	633636	"TTS1-68-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"8"
"TTS1-81-0508"	4188	615901	"TTS1-81-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"8"
"TTS1-84-0508"	3190	831227	"TTS1-84-0508"	"P0508"	"C07_CD4-FOXP3"	"TTR"	0	"8"
"JTS-11-0508"	3552	926551	"JTS-11-0508"	"P0508"	"unknown"	"JTR"	0	"8"
"JTS-23-0508"	3498	745986	"JTS-23-0508"	"P0508"	"unknown"	"JTR"	0	"8"
"JTS-28-0508"	2992	802451	"JTS-28-0508"	"P0508"	"unknown"	"JTR"	0	"8"
"JTS-58-0508"	2777	424165	"JTS-58-0508"	"P0508"	"unknown"	"JTR"	0	"8"
"JTS-63-0508"	2878	650531	"JTS-63-0508"	"P0508"	"unknown"	"JTR"	0	"8"
"JTS-88-0508"	2934	726234	"JTS-88-0508"	"P0508"	"unknown"	"JTR"	0	"8"
"TTH1-72-0508"	4050	672548	"TTH1-72-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"8"
"TTH1-93-0508"	2983	846663	"TTH1-93-0508"	"P0508"	"C06_CD4-CCR7"	"TTH"	0	"8"
"JTH-23-0508"	2760	615476	"JTH-23-0508"	"P0508"	"unknown"	"JTH"	0	"8"
"NTH2-85-0508"	3907	699797	"NTH2-85-0508"	"P0508"	"C06_CD4-CCR7"	"NTH"	0	"8"
"PTH3-59-0508"	2372	588989	"PTH3-59-0508"	"P0508"	"C06_CD4-CCR7"	"PTH"	0	"8"
"JTH-95-0508"	4022	679960	"JTH-95-0508"	"P0508"	"unknown"	"JTH"	0	"8"
"PTH28-0508"	2688	691463	"PTH28-0508"	"P0508"	"C07_CD4-FOXP3"	"PTH"	0	"8"
"PTR21-0508"	2233	923357	"PTR21-0508"	"P0508"	"unknown"	"PTR"	0	"8"
"TTH105-0508"	1932	460066	"TTH105-0508"	"P0508"	"unknown"	"TTH"	0	"8"
"TTR129-0508"	3468	842073	"TTR129-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"8"
"TTR156-0508"	3464	1036039	"TTR156-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"8"
"TTR154-0508"	2669	915982	"TTR154-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"8"
"TTR161-0508"	2423	918927	"TTR161-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"8"
"PTH15-1116"	5004	1235327	"PTH15-1116"	"P1116"	"C06_CD4-CCR7"	"PTH"	0	"8"
"PTH73-1116"	5096	1913250	"PTH73-1116"	"P1116"	"C06_CD4-CCR7"	"PTH"	0	"8"
"PTH85-1116"	4736	1233299	"PTH85-1116"	"P1116"	"C07_CD4-FOXP3"	"PTH"	0	"8"
"TTH48-1116"	4207	1745429	"TTH48-1116"	"P1116"	"unknown"	"TTH"	0	"8"
"NTR7-1116"	4825	1440824	"NTR7-1116"	"P1116"	"C09_CD4-GZMA"	"NTR"	0	"8"
"NTR78-1116"	5128	1361420	"NTR78-1116"	"P1116"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR79-1116"	6165	1946787	"NTR79-1116"	"P1116"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"PTR22-1116"	4542	1446225	"PTR22-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR3-1116"	3900	1356451	"PTR3-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR4-1116"	3933	1239923	"PTR4-1116"	"P1116"	"C06_CD4-CCR7"	"PTR"	0	"8"
"PTR43-1116"	4283	1458905	"PTR43-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR47-1116"	4149	1108028	"PTR47-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR5-1116"	4145	1373904	"PTR5-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR72-1116"	4172	1390349	"PTR72-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR73-1116"	4091	1344110	"PTR73-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR74-1116"	4361	1386509	"PTR74-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR87-1116"	4846	1635925	"PTR87-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR88-1116"	3909	1309606	"PTR88-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR94-1116"	4250	1285793	"PTR94-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"TTR36-1116"	3892	1568235	"TTR36-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"8"
"TTR39-1116"	3847	1136906	"TTR39-1116"	"P1116"	"unknown"	"TTR"	0	"8"
"NTR100-1116"	3271	1271163	"NTR100-1116"	"P1116"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR13-1116"	4509	1205254	"NTR13-1116"	"P1116"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR15-1116"	4078	1062761	"NTR15-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"8"
"NTR29-1116"	3939	1086560	"NTR29-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"8"
"NTR38-1116"	4519	1229968	"NTR38-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"8"
"NTR45-1116"	4094	1738884	"NTR45-1116"	"P1116"	"unknown"	"NTR"	0	"8"
"NTR98-1116"	3848	933999	"NTR98-1116"	"P1116"	"C07_CD4-FOXP3"	"NTR"	0	"8"
"NTR99-1116"	4041	1401991	"NTR99-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"8"
"PTR10-1116"	4145	1813004	"PTR10-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR13-1116"	4035	1406755	"PTR13-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR15-1116"	3774	1136512	"PTR15-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR16-1116"	3316	1176511	"PTR16-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR17-1116"	4034	1498098	"PTR17-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR19-1116"	3662	1291639	"PTR19-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR23-1116"	3736	1423802	"PTR23-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR25-1116"	3510	976051	"PTR25-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR26-1116"	3564	1329329	"PTR26-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR28-1116"	3749	1121365	"PTR28-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR31-1116"	4199	1098353	"PTR31-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR32-1116"	3718	1168552	"PTR32-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR33-1116"	3920	1217661	"PTR33-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR34-1116"	3915	1182372	"PTR34-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR35-1116"	3772	1271324	"PTR35-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR36-1116"	3791	1092526	"PTR36-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR39-1116"	3692	1134689	"PTR39-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR41-1116"	3910	1073124	"PTR41-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR42-1116"	3798	925749	"PTR42-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR44-1116"	3454	877708	"PTR44-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR45-1116"	3741	1219747	"PTR45-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR48-1116"	4047	1513173	"PTR48-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR49-1116"	3852	1372949	"PTR49-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR50-1116"	3912	965622	"PTR50-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR51-1116"	3804	1104428	"PTR51-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR52-1116"	4012	1237854	"PTR52-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR53-1116"	3814	1308033	"PTR53-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR55-1116"	3924	1208619	"PTR55-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR56-1116"	3979	1106763	"PTR56-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR57-1116"	3366	1182039	"PTR57-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR59-1116"	3389	1076830	"PTR59-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR61-1116"	3554	1326923	"PTR61-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR62-1116"	3735	1357721	"PTR62-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR63-1116"	4242	1293359	"PTR63-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR65-1116"	3826	856047	"PTR65-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR66-1116"	3540	985812	"PTR66-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR67-1116"	3579	1179173	"PTR67-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR69-1116"	3923	949512	"PTR69-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR70-1116"	3723	1077012	"PTR70-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR71-1116"	3785	1093734	"PTR71-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR7-1116"	3886	1310475	"PTR7-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR76-1116"	4056	1325280	"PTR76-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR77-1116"	4152	1495151	"PTR77-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR78-1116"	4173	1709330	"PTR78-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR79-1116"	3935	1102320	"PTR79-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR80-1116"	3605	1180695	"PTR80-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR8-1116"	3840	1316352	"PTR8-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR82-1116"	3420	1221076	"PTR82-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR83-1116"	4017	1537282	"PTR83-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR84-1116"	3753	1334085	"PTR84-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR85-1116"	3835	1574974	"PTR85-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR89-1116"	3579	1089456	"PTR89-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR90-1116"	3643	1262986	"PTR90-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR91-1116"	3494	884391	"PTR91-1116"	"P1116"	"unknown"	"PTR"	0	"8"
"PTR95-1116"	3557	949420	"PTR95-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR96-1116"	3711	930331	"PTR96-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"TTR165-1116"	3165	696297	"TTR165-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"8"
