""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"C11orf312"	0.000567851425808973	0.654319248640607	0.375	0.25	1	"4"	"C11orf31"
"TBX211"	0.00056998657282867	0.774609689791631	0.219	0.106	1	"4"	"TBX21"
"SFXN11"	0.000570398261840067	0.376721940956118	0.552	0.385	1	"4"	"SFXN1"
"FMNL31"	0.000576104206325422	0.545920473910928	0.427	0.282	1	"4"	"FMNL3"
"KNOP1"	0.000577075837199431	0.412684214306126	0.177	0.077	1	"4"	"KNOP1"
"KIAA0141"	0.000590199351526663	0.394860289499713	0.448	0.294	1	"4"	"KIAA0141"
"INPP11"	0.000591909267191129	0.513664177633602	0.333	0.193	1	"4"	"INPP1"
"RRP121"	0.000593255870861786	0.418163717091934	0.198	0.088	1	"4"	"RRP12"
"NDUFC2-KCTD141"	0.000599096739540644	0.502128781360029	0.5	0.354	1	"4"	"NDUFC2-KCTD14"
"EIF4A31"	0.000609937958991006	0.426953184464577	0.552	0.369	1	"4"	"EIF4A3"
"PHF13"	0.000613202115707496	0.296455270174981	0.115	0.04	1	"4"	"PHF13"
"SRSF2"	0.00062612620144421	0.250462380379836	0.906	0.75	1	"4"	"SRSF2"
"TSTA3"	0.000630020768958523	0.377228930830073	0.542	0.35	1	"4"	"TSTA3"
"GDAP2"	0.000633506139686741	0.488233784921437	0.281	0.147	1	"4"	"GDAP2"
"NDFIP1"	0.000636147087683566	0.368928558001853	0.865	0.731	1	"4"	"NDFIP1"
"CPEB2"	0.000637321085136059	0.630491186832765	0.167	0.072	1	"4"	"CPEB2"
"SNRPB"	0.000643190123783144	0.335423942647962	0.76	0.687	1	"4"	"SNRPB"
"EIF6"	0.000647740390748701	0.335261823478693	0.562	0.378	1	"4"	"EIF6"
"SMIM15"	0.000654995575901168	0.44333087657932	0.375	0.224	1	"4"	"SMIM15"
"SHQ1"	0.00065514598379245	0.383885641311803	0.229	0.112	1	"4"	"SHQ1"
"SEMA4A"	0.000657159169859782	0.592900219210575	0.156	0.065	1	"4"	"SEMA4A"
"KIN"	0.000661505278120039	0.349732275980909	0.292	0.158	1	"4"	"KIN"
"ZNF81"	0.000669947513922204	0.403354648858642	0.125	0.046	1	"4"	"ZNF81"
"SYNCRIP"	0.000670370770145167	0.590431709916639	0.5	0.354	1	"4"	"SYNCRIP"
"FANCI"	0.000676710800599821	0.334734146642766	0.354	0.215	1	"4"	"FANCI"
"MLST8"	0.000689791583753169	0.451216915234538	0.281	0.149	1	"4"	"MLST8"
"RAB22A"	0.000691080533891095	0.512304387543398	0.292	0.162	1	"4"	"RAB22A"
"MICAL21"	0.000704686450579509	0.458907090006181	0.406	0.248	1	"4"	"MICAL2"
"RAB11FIP11"	0.000705141688757571	0.339384236664548	0.573	0.392	1	"4"	"RAB11FIP1"
"HIVEP1"	0.000709603691304294	0.444242721542493	0.333	0.19	1	"4"	"HIVEP1"
"EIF4G31"	0.000718558626990317	0.492784434687071	0.385	0.237	1	"4"	"EIF4G3"
"RARG"	0.000720338545317134	0.642303685156211	0.188	0.086	1	"4"	"RARG"
"TIMM9"	0.0007275526924383	0.31510081719618	0.302	0.162	1	"4"	"TIMM9"
"P2RY11"	0.000732170348520366	0.289037479360338	0.521	0.354	1	"4"	"P2RY11"
"COMTD1"	0.000736169871324563	0.281494621500161	0.292	0.155	1	"4"	"COMTD1"
"SERPINE21"	0.000737074379669547	0.494818007858523	0.375	0.224	1	"4"	"SERPINE2"
"STX11"	0.000743923369758913	0.504428818151818	0.281	0.154	1	"4"	"STX11"
"TAF9"	0.000746800198187744	0.629596043914393	0.438	0.294	1	"4"	"TAF9"
"NAT10"	0.000753584655429022	0.459864937420414	0.281	0.15	1	"4"	"NAT10"
"RNF2"	0.000762051256550607	0.251201645007271	0.281	0.147	1	"4"	"RNF2"
"ODF3B1"	0.000765277548375712	0.716799562389773	0.333	0.201	1	"4"	"ODF3B"
"IQCB1"	0.000772443199983719	0.476017600254291	0.333	0.195	1	"4"	"IQCB1"
"GOT2"	0.000776335023808782	0.656728488178994	0.5	0.36	1	"4"	"GOT2"
