"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"
"ROMO1"	5.0337879638781e-20	1.29594780030618	0.76	0.531	1.08890901234611e-15	"ROMO1"
"JUND"	5.25046962992232e-20	1.59265955413458	0.549	0.245	1.1357815903448e-15	"JUND"
"ATP2B1"	5.28063568604373e-20	-1.03753039588939	0.5	0.755	1.14230711160498e-15	"ATP2B1"
"RPL5"	7.89115371794815e-20	-0.471185457654599	0.992	1	1.70701437226654e-15	"RPL5"
"RAP1GAP2"	8.30809242809664e-20	-2.31507010411455	0.032	0.21	1.79720655404587e-15	"RAP1GAP2"
"PDE4A"	1.04969856918567e-19	2.03482972054337	0.415	0.134	2.27070794486243e-15	"PDE4A"
"MIR497HG"	1.28954389337805e-19	0.786492165674496	0.729	0.441	2.78954135015539e-15	"MIR497HG"
"PHPT1"	1.31212052932521e-19	1.27686408785395	0.568	0.286	2.83837912903629e-15	"PHPT1"
"GADD45G"	1.34792297655282e-19	2.60028851354358	0.305	0.041	2.91582698287907e-15	"GADD45G"
"CASP8"	1.48329507099736e-19	-0.895118746734828	0.796	0.907	3.20866389758149e-15	"CASP8"
"IL1R2"	1.51454926702706e-19	3.32533221319243	0.305	0.045	3.27627297443293e-15	"IL1R2"
"GADD45A"	1.76608367023851e-19	1.36768736994696	0.483	0.172	3.82039219545994e-15	"GADD45A"
"MRPL33"	1.85261208591686e-19	1.23508709251986	0.722	0.503	4.00757046425535e-15	"MRPL33"
"MFNG"	1.89006442870561e-19	-0.962912530460769	0.512	0.752	4.08858737217598e-15	"MFNG"
"C3AR1"	2.45892531902536e-19	1.83580108385246	0.421	0.134	5.31914725011565e-15	"C3AR1"
"SLC5A3"	2.55878778302802e-19	0.925759539531525	0.733	0.466	5.5351697322462e-15	"SLC5A3"
"RPS3"	2.84970314888463e-19	-0.383645869076771	0.994	1	6.16447785166724e-15	"RPS3"
"CYTH1"	3.00329548429768e-19	-0.917316455538121	0.631	0.834	6.49672879163273e-15	"CYTH1"
